2022-12-14 20:29:23.431464: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:24.052585: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:24.513871: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:25.048127: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:25.478120: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:25.938158: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:26.858125: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:29:27.238128: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:22:36.464357: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:40.916008: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:44.760363: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:47.995026: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:50.309576: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:52.739818: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:56.250526: a bytes-like object is required, not 'TypeError'
2022-12-15 11:22:59.303391: a bytes-like object is required, not 'TypeError'
2022-12-15 11:23:01.928773: a bytes-like object is required, not 'TypeError'
2022-12-15 11:23:04.585474: a bytes-like object is required, not 'TypeError'
2022-12-15 11:23:09.766586: a bytes-like object is required, not 'TypeError'
2022-12-15 11:23:13.527752: a bytes-like object is required, not 'TypeError'
2022-12-15 11:35:56.993456: memoryview: a bytes-like object is required, not 'ClientPayloadError'
2022-12-15 11:35:57.937572: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:35:58.617040: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:35:59.237171: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:35:59.929376: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:00.559623: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:01.150692: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:01.446688: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:02.018915: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:02.514952: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:03.374081: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:03.918741: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:05.032693: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:05.496657: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:06.032691: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:06.524094: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:07.502769: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:08.218641: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:08.819315: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:09.064539: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:09.432574: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:09.990864: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:10.682771: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:11.437160: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-15 11:36:11.755462: memoryview: a bytes-like object is required, not 'ClientConnectorError'
